constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.43,0.15,1.6,0.15,2,0.21,0.51,6.1E-16,0.88,0.056,1.4,0.056,30,6.9
0,2.0,0.43,0.15,3.1,0.29,3.6,0.33,0.92,0.2,1.3,0.17,2.2,0.076,37,5.8
0,3.0,0.43,0.15,4.7,0.43,5.1,0.46,1.1,0.12,1.7,0.14,2.8,0.1,45,5.4
0,4.0,0.43,0.15,6.2,0.57,6.6,0.59,1.5,0.16,1.8,0.18,3.3,0.12,49,5.2
0,5.0,0.43,0.15,7.7,0.71,8.1,0.73,1.6,0.13,2.2,0.15,3.8,0.14,53,4.9
0,6.0,0.43,0.15,9.2,0.85,9.6,0.87,1.8,0.24,2.4,0.24,4.2,0.15,56,4.5
0,7.0,0.43,0.15,11,0.99,11,1,2,0.15,2.5,0.18,4.5,0.17,59,4.3
0,8.0,0.43,0.15,12,1.1,13,1.1,2,0.071,2.8,0.18,4.9,0.18,61,4.1
0,9.0,0.43,0.15,14,1.3,14,1.3,2.1,0.11,3.1,0.2,5.2,0.2,63,4
0,10.0,0.43,0.15,15,1.4,16,1.4,2.2,0.21,3.4,0.21,5.5,0.22,64,3.9
1,1.0,0.51,0,1.1,0.19,1.7,0.19,0.51,5.5E-16,0.89,0.058,1.4,0.058,14,9.8
1,2.0,0.51,0,2.3,0.38,2.8,0.38,0.92,0.2,1.3,0.17,2.2,0.076,19,11
1,3.0,0.51,0,3.4,0.57,3.9,0.57,1.1,0.12,1.7,0.14,2.8,0.1,27,11
1,4.0,0.51,0,4.5,0.76,5,0.76,1.5,0.16,1.8,0.18,3.3,0.12,32,10
1,5.0,0.51,0,5.6,0.94,6.1,0.94,1.6,0.13,2.2,0.15,3.8,0.14,37,9.7
1,6.0,0.51,0,6.7,1.1,7.2,1.1,1.8,0.24,2.4,0.24,4.2,0.15,41,9.2
1,7.0,0.51,0,7.8,1.3,8.3,1.3,2,0.15,2.5,0.18,4.5,0.17,44,8.7
1,8.0,0.51,0,8.8,1.5,9.4,1.5,2,0.071,2.8,0.18,4.9,0.18,47,8.3
1,9.0,0.51,0,9.9,1.7,10,1.7,2.1,0.11,3.1,0.2,5.2,0.2,49,8.1
1,10.0,0.51,0,11,1.8,11,1.8,2.2,0.21,3.4,0.21,5.5,0.22,50,7.8
2,1.0,1,0.067,0.8,0.044,1.8,0.074,1,0.067,0.62,0.051,1.6,0.05,10,3
2,2.0,1,0.067,1.6,0.088,2.6,0.1,1,9.1E-16,1.2,0.079,2.2,0.079,14,3.8
2,3.0,1,0.067,2.4,0.13,3.4,0.14,1.1,0.13,1.7,0.14,2.8,0.11,17,3.9
2,4.0,1,0.067,3.2,0.17,4.2,0.18,1.5,0.16,1.8,0.18,3.3,0.12,20,3.8
2,5.0,1,0.067,3.9,0.22,4.9,0.22,1.6,0.14,2.2,0.16,3.8,0.14,24,3.9
2,6.0,1,0.067,4.7,0.26,5.7,0.26,1.8,0.24,2.4,0.24,4.2,0.15,27,3.7
2,7.0,1,0.067,5.5,0.3,6.5,0.3,2,0.15,2.5,0.18,4.5,0.17,30,3.5
2,8.0,1,0.067,6.2,0.34,7.2,0.34,2,0.071,2.8,0.18,4.9,0.18,32,3.5
2,9.0,1,0.067,7,0.38,8,0.38,2.1,0.11,3.1,0.2,5.2,0.2,34,3.5
2,10.0,1,0.067,7.7,0.42,8.7,0.42,2.2,0.21,3.4,0.21,5.5,0.22,36,3.4
3,1.0,1.7,0.2,0.56,0.045,2.2,0.2,1.7,0.2,0.46,0.038,2.1,0.18,4.6,2
3,2.0,1.7,0.2,1.1,0.09,2.8,0.22,1.7,0.2,0.9,0.08,2.6,0.17,7.4,3.2
3,3.0,1.7,0.2,1.7,0.13,3.4,0.24,1.7,0.22,1.3,0.12,3,0.16,9.5,3.9
3,4.0,1.7,0.2,2.2,0.18,3.9,0.27,1.8,0.23,1.6,0.15,3.4,0.15,11,4.5
3,5.0,1.7,0.2,2.8,0.22,4.4,0.3,1.9,0.21,1.9,0.17,3.8,0.15,13,4.8
3,6.0,1.7,0.2,3.3,0.27,5,0.33,2,0.14,2.2,0.16,4.2,0.16,15,4.8
3,7.0,1.7,0.2,3.8,0.31,5.5,0.37,2.1,0.1,2.5,0.16,4.6,0.17,17,4.9
3,8.0,1.7,0.2,4.4,0.35,6,0.4,2.1,0.11,2.8,0.18,4.9,0.19,19,4.9
3,9.0,1.7,0.2,4.9,0.39,6.6,0.44,2.1,0.14,3.1,0.2,5.2,0.21,20,5
3,10.0,1.7,0.2,5.4,0.43,7.1,0.48,2.2,0.22,3.3,0.2,5.6,0.22,21,5
4,1.0,2.5,0.22,0.43,0.027,3,0.22,2.5,0.22,0.34,0.019,2.9,0.22,3.1,0.9
4,2.0,2.5,0.22,0.86,0.053,3.4,0.23,2.5,0.22,0.68,0.039,3.2,0.22,5.4,1.5
4,3.0,2.5,0.22,1.3,0.08,3.8,0.24,2.5,0.22,1,0.056,3.5,0.22,7.2,2
4,4.0,2.5,0.22,1.7,0.11,4.2,0.26,2.5,0.23,1.3,0.077,3.9,0.23,8.6,2.3
4,5.0,2.5,0.22,2.1,0.13,4.6,0.27,2.5,0.22,1.6,0.089,4.2,0.24,9.9,2.5
4,6.0,2.5,0.22,2.5,0.16,5.1,0.29,2.6,0.24,1.9,0.1,4.5,0.24,11,2.6
4,7.0,2.5,0.22,3,0.18,5.5,0.3,2.6,0.24,2.2,0.12,4.8,0.24,12,2.7
4,8.0,2.5,0.22,3.4,0.21,5.9,0.32,2.6,0.24,2.5,0.14,5.1,0.25,13,2.8
4,9.0,2.5,0.22,3.8,0.23,6.3,0.34,2.6,0.26,2.8,0.16,5.4,0.25,14,2.9
4,10.0,2.5,0.22,4.2,0.26,6.7,0.36,2.7,0.29,3,0.18,5.7,0.26,14,3.1
V
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.47,0.087,1.6,0.14,2.1,0.17,0.51,6.6E-16,0.88,0.027,1.4,0.027,33,5.7
0,2.0,0.47,0.087,3.2,0.28,3.7,0.3,1,9.7E-16,1.2,0.038,2.2,0.038,40,5.4
0,3.0,0.47,0.087,4.8,0.43,5.2,0.43,1,1.2E-15,1.7,0.057,2.8,0.057,47,5.1
0,4.0,0.47,0.087,6.3,0.56,6.8,0.57,1.3,0.25,2,0.23,3.3,0.064,51,4.7
0,5.0,0.47,0.087,7.9,0.7,8.3,0.71,1.5,1.6E-15,2.2,0.07,3.7,0.07,55,4.4
0,6.0,0.47,0.087,9.4,0.84,9.9,0.84,1.7,0.22,2.5,0.21,4.2,0.08,57,4.2
0,7.0,0.47,0.087,11,0.97,11,0.98,2,0.16,2.6,0.15,4.6,0.08,60,4
0,8.0,0.47,0.087,12,1.1,13,1.1,2,2.1E-15,2.9,0.088,4.9,0.088,62,3.8
0,9.0,0.47,0.087,14,1.2,14,1.2,2,2.3E-15,3.2,0.099,5.2,0.099,63,3.7
0,10.0,0.47,0.087,15,1.4,16,1.4,2.1,0.14,3.5,0.16,5.6,0.11,64,3.6
1,1.0,0.51,0,1.2,0.23,1.7,0.23,0.51,5.7E-16,0.88,0.027,1.4,0.027,16,12
1,2.0,0.51,0,2.3,0.46,2.9,0.46,1,9.4E-16,1.2,0.038,2.2,0.038,21,13
1,3.0,0.51,0,3.5,0.69,4,0.69,1,1.2E-15,1.7,0.057,2.8,0.057,29,13
1,4.0,0.51,0,4.6,0.91,5.2,0.91,1.3,0.25,2,0.23,3.3,0.064,34,12
1,5.0,0.51,0,5.8,1.1,6.3,1.1,1.5,1.6E-15,2.2,0.07,3.7,0.07,38,12
1,6.0,0.51,0,6.9,1.4,7.4,1.4,1.7,0.22,2.5,0.21,4.2,0.08,42,11
1,7.0,0.51,0,8,1.6,8.5,1.6,2,0.16,2.6,0.15,4.6,0.08,45,11
1,8.0,0.51,0,9.1,1.8,9.6,1.8,2,2.2E-15,2.9,0.088,4.9,0.088,47,10
1,9.0,0.51,0,10,2,11,2,2,2E-15,3.2,0.099,5.2,0.099,49,10
1,10.0,0.51,0,11,2.2,12,2.2,2.1,0.14,3.5,0.16,5.6,0.11,51,9.8
2,1.0,1,0.026,0.81,0.031,1.8,0.041,1,7.3E-16,0.58,0.019,1.6,0.019,12,2
2,2.0,1,0.026,1.6,0.062,2.6,0.068,1,9.6E-16,1.2,0.038,2.2,0.038,17,2.2
2,3.0,1,0.026,2.4,0.092,3.4,0.097,1,1.1E-15,1.7,0.057,2.8,0.057,19,2.4
2,4.0,1,0.026,3.2,0.12,4.2,0.13,1.3,0.25,2,0.23,3.3,0.064,21,2.5
2,5.0,1,0.026,4,0.15,5,0.16,1.5,1.3E-15,2.2,0.07,3.7,0.07,25,2.4
2,6.0,1,0.026,4.7,0.18,5.8,0.18,1.7,0.22,2.5,0.21,4.2,0.08,27,2.4
2,7.0,1,0.026,5.5,0.21,6.5,0.21,2,0.16,2.6,0.15,4.6,0.08,30,2.3
2,8.0,1,0.026,6.3,0.24,7.3,0.24,2,2.1E-15,2.9,0.088,4.9,0.088,33,2.2
2,9.0,1,0.026,7,0.27,8,0.27,2,2.3E-15,3.2,0.099,5.2,0.099,35,2.2
2,10.0,1,0.026,7.7,0.3,8.8,0.3,2.1,0.14,3.5,0.16,5.6,0.11,36,2.2
3,1.0,1.5,0,0.57,0.031,2.1,0.031,1.5,8.7E-16,0.46,0.027,2,0.027,4.8,1.7
3,2.0,1.5,0,1.1,0.063,2.7,0.063,1.5,1.2E-15,0.92,0.055,2.5,0.055,7.5,2.6
3,3.0,1.5,0,1.7,0.093,3.2,0.093,1.5,0.03,1.4,0.079,2.9,0.079,9.4,3.2
3,4.0,1.5,0,2.2,0.12,3.8,0.12,1.6,0.12,1.8,0.1,3.4,0.098,11,3.5
3,5.0,1.5,0,2.8,0.15,4.3,0.15,1.7,0.22,2.1,0.17,3.8,0.094,12,3.4
3,6.0,1.5,0,3.3,0.18,4.8,0.18,1.7,0.25,2.4,0.22,4.2,0.083,14,3.4
3,7.0,1.5,0,3.8,0.21,5.4,0.21,2,0.16,2.6,0.15,4.6,0.082,15,3.5
3,8.0,1.5,0,4.4,0.24,5.9,0.24,2,2.3E-15,2.9,0.091,4.9,0.091,17,3.5
3,9.0,1.5,0,4.9,0.27,6.4,0.27,2,2.2E-15,3.2,0.1,5.2,0.1,18,3.6
3,10.0,1.5,0,5.4,0.3,7,0.3,2.1,0.16,3.5,0.17,5.6,0.11,20,3.6
4,1.0,2.1,0.17,0.44,0.021,2.6,0.17,2.1,0.17,0.38,0.02,2.5,0.16,2.4,0.84
4,2.0,2.1,0.17,0.88,0.041,3,0.18,2.2,0.18,0.75,0.044,2.9,0.16,4.1,1.4
4,3.0,2.1,0.17,1.3,0.062,3.5,0.18,2.2,0.18,1.1,0.066,3.3,0.15,5.3,1.8
