buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.46,0.11,1.4,0.2,1.8,0.21,0.51,0.016,0.89,0.11,1.4,0.11,23,9.7
0,2.0,0.46,0.11,2.7,0.4,3.2,0.4,0.9,0.2,1.3,0.16,2.2,0.15,31,9.6
0,3.0,0.46,0.11,4.1,0.59,4.6,0.59,1.1,0.14,1.7,0.17,2.8,0.19,38,9
0,4.0,0.46,0.11,5.4,0.79,5.9,0.78,1.3,0.23,2,0.25,3.3,0.22,43,8.4
0,5.0,0.46,0.11,6.8,0.98,7.2,0.97,1.6,0.21,2.2,0.25,3.7,0.25,47,8.1
0,6.0,0.46,0.11,8.1,1.2,8.6,1.2,1.8,0.22,2.4,0.25,4.1,0.28,51,7.6
0,7.0,0.46,0.11,9.4,1.4,9.9,1.3,1.9,0.22,2.6,0.28,4.5,0.31,53,7.3
0,8.0,0.46,0.11,11,1.5,11,1.5,2.1,0.23,2.8,0.31,4.9,0.34,56,7
0,9.0,0.46,0.11,12,1.7,12,1.7,2.2,0.27,3,0.31,5.2,0.36,57,6.8
0,10.0,0.46,0.11,13,1.9,14,1.9,2.3,0.28,3.2,0.31,5.5,0.38,59,6.5
1,1.0,0.61,0.16,1.1,0.16,1.7,0.24,0.61,0.16,0.83,0.097,1.4,0.15,15,8.4
1,2.0,0.61,0.16,2.2,0.31,2.8,0.37,0.91,0.21,1.3,0.16,2.2,0.16,21,9.4
1,3.0,0.61,0.16,3.3,0.46,3.9,0.52,1.1,0.15,1.7,0.17,2.8,0.19,28,8.8
1,4.0,0.61,0.16,4.4,0.61,5,0.66,1.3,0.23,2,0.25,3.3,0.22,33,8.3
1,5.0,0.61,0.16,5.4,0.76,6.1,0.81,1.6,0.21,2.2,0.25,3.7,0.25,37,8
1,6.0,0.61,0.16,6.5,0.91,7.1,0.96,1.8,0.22,2.4,0.25,4.1,0.28,41,7.7
1,7.0,0.61,0.16,7.6,1.1,8.2,1.1,1.9,0.22,2.6,0.28,4.5,0.31,44,7.4
1,8.0,0.61,0.16,8.6,1.2,9.2,1.2,2.1,0.23,2.8,0.31,4.9,0.34,46,7.1
