buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.48,0.095,1.5,0.22,2,0.21,0.51,6E-16,0.89,0.031,1.4,0.031,27,9.2
0,2.0,0.48,0.095,2.9,0.44,3.4,0.42,1,0.059,1.2,0.078,2.2,0.048,34,9.8
0,3.0,0.48,0.095,4.4,0.65,4.9,0.63,1,1.3E-15,1.8,0.071,2.8,0.071,41,9.4
0,4.0,0.48,0.095,5.8,0.86,6.3,0.84,1.3,0.26,2.1,0.24,3.3,0.081,46,9.1
0,5.0,0.48,0.095,7.2,1.1,7.7,1.1,1.5,0.084,2.3,0.1,3.8,0.09,49,8.7
0,6.0,0.48,0.095,8.6,1.3,9.1,1.3,1.7,0.25,2.5,0.24,4.2,0.096,52,8.2
0,7.0,0.48,0.095,10,1.5,10,1.5,2,0.083,2.6,0.12,4.6,0.1,55,7.8
0,8.0,0.48,0.095,11,1.7,12,1.7,2,0.059,2.9,0.12,5,0.12,57,7.5
0,9.0,0.48,0.095,13,1.9,13,1.9,2.1,0.14,3.2,0.15,5.3,0.13,59,7.3
0,10.0,0.48,0.095,14,2.1,15,2.1,2.2,0.23,3.5,0.2,5.6,0.13,60,7.1
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,5.9E-16,0.89,0.032,1.4,0.032,16,7.1
1,2.0,0.51,1.1E-16,2.3,0.28,2.8,0.28,1,0.059,1.2,0.078,2.2,0.048,22,8.1
1,3.0,0.51,1.1E-16,3.5,0.42,4,0.42,1,1.3E-15,1.8,0.071,2.8,0.071,29,7.8
1,4.0,0.51,1.1E-16,4.6,0.56,5.1,0.56,1.3,0.26,2.1,0.24,3.3,0.081,34,7.5
1,5.0,0.51,1.1E-16,5.7,0.69,6.3,0.69,1.5,0.084,2.3,0.1,3.8,0.09,38,7.2
1,6.0,0.51,1.1E-16,6.9,0.83,7.4,0.83,1.7,0.25,2.5,0.24,4.2,0.096,42,6.9
1,7.0,0.51,1.1E-16,8,0.96,8.5,0.96,2,0.083,2.6,0.12,4.6,0.1,45,6.6
